7, 11, 24, 27, 38
4, 22, 26, 27, 31
10, 20, 30, 34, 37
10, 20, 22, 30, 40
1, 19, 28, 36, 39
4, 15, 25, 31, 34
4, 12, 15, 33, 36
1, 21, 27, 36, 39
26, 31, 32, 34, 39
14, 19, 20, 30, 34
3, 9, 24, 33, 38
1, 10, 12, 14, 16
7, 14, 23, 28, 40
2, 7, 10, 15, 40
3, 4, 11, 15, 23
2, 25, 28, 32, 36
4, 13, 16, 21, 33
6, 11, 13, 20, 29
5, 14, 15, 26, 36
5, 15, 19, 21, 36
1, 15, 21, 28, 37
13, 25, 27, 31, 39
2, 18, 22, 25, 27
2, 3, 6, 28, 38
3, 14, 16, 25, 34
4, 10, 12, 21, 36
17, 22, 23, 29, 30
10, 21, 26, 27, 38
10, 22, 27, 31, 33
10, 16, 19, 32, 33
1, 3, 7, 32, 37
2, 4, 10, 11, 21
2, 13, 32, 38, 39
2, 3, 9, 11, 27
22, 24, 25, 34, 35
15, 19, 23, 32, 34
14, 17, 33, 35, 40
15, 23, 26, 28, 38
6, 25, 30, 36, 38
2, 5, 14, 21, 25
5, 6, 8, 17, 29
6, 21, 23, 24, 28
8, 10, 16, 21, 36
2, 15, 20, 28, 31
2, 6, 15, 20, 27
11, 15, 19, 27, 32
8, 23, 34, 38, 39
18, 24, 31, 32, 38
1, 10, 24, 29, 38
13, 16, 20, 23, 40
3, 9, 15, 37, 40
4, 5, 12, 20, 31
10, 15, 30, 36, 38
10, 13, 15, 21, 26
4, 6, 26, 27, 38
19, 25, 32, 35, 39
6, 23, 26, 35, 40
16, 26, 29, 36, 37
1, 2, 5, 37, 40
6, 9, 17, 31, 40
6, 7, 13, 14, 15
3, 7, 18, 23, 27
1, 11, 14, 19, 28
14, 16, 19, 25, 40
13, 20, 24, 25, 27
3, 10, 16, 21, 25
9, 29, 32, 37, 40
5, 11, 16, 28, 30
11, 28, 34, 36, 40
8, 17, 20, 28, 40
11, 15, 16, 27, 40
11, 14, 17, 30, 37
2, 4, 21, 22, 23
3, 26, 28, 34, 39
6, 9, 24, 35, 37
5, 12, 24, 25, 33
17, 23, 36, 38, 39
7, 19, 20, 27, 30
10, 19, 23, 26, 39
6, 13, 21, 34, 40
11, 12, 18, 19, 37
4, 6, 8, 18, 38
13, 16, 21, 24, 31
3, 4, 8, 31, 33
9, 17, 18, 25, 29
7, 11, 12, 19, 20
3, 17, 24, 27, 29
20, 29, 31, 34, 39
9, 15, 32, 39, 40
6, 13, 15, 20, 38
1, 13, 15, 23, 35
6, 8, 19, 23, 26
9, 15, 21, 23, 24
9, 11, 17, 32, 37
7, 10, 13, 25, 28
6, 18, 21, 22, 31
4, 14, 18, 19, 21
1, 4, 6, 23, 32
3, 9, 14, 26, 27
7, 9, 10, 20, 29
8, 12, 20, 23, 32
2, 15, 17, 22, 24
8, 9, 13, 16, 23
1, 5, 14, 15, 23
4, 8, 23, 35, 39
3, 12, 18, 27, 40
23, 24, 27, 36, 38
3, 10, 11, 23, 36
1, 10, 18, 27, 31
10, 21, 24, 35, 37
3, 26, 33, 35, 37
2, 8, 13, 19, 24
1, 3, 17, 20, 34
7, 10, 15, 18, 40
7, 8, 14, 17, 35
13, 15, 16, 27, 40
15, 29, 34, 36, 37
12, 23, 24, 30, 35
5, 9, 24, 28, 31
8, 18, 23, 31, 35
4, 5, 21, 28, 32
2, 9, 10, 36, 37
9, 21, 28, 31, 37
1, 2, 10, 31, 34
5, 18, 21, 22, 40
4, 6, 9, 26, 29
12, 22, 29, 35, 36
9, 11, 17, 22, 28
10, 12, 17, 22, 26
1, 5, 14, 33, 40
4, 19, 30, 34, 39
4, 27, 29, 36, 39
11, 31, 35, 37, 38
3, 14, 17, 19, 38
8, 15, 34, 36, 37
7, 9, 12, 13, 40
9, 12, 16, 27, 28
3, 10, 14, 19, 36
